186	16.2	0	R	16248
175	13.5	0.05	Unfiltered	16250
287	13.9	0.04	Unfiltered	16250
392	14.5	0.07	Unfiltered	16250
474	14.8	0.09	Unfiltered	16250
556	15.1	0.1	Unfiltered	16250
637	15.2	0.12	Unfiltered	16250
718	15.5	0.17	Unfiltered	16250
847	16.2	0.18	Unfiltered	16250
1539	16.7	0	R	16251
23940	19.5	0	R	16253
30611	20.3	0.1	g'	16257
30611	19.7	0.1	r'	16257
30611	19.5	0.1	i'	16257
30611	19.3	0.1	z'	16257
30611	19	0.1	J	16257
30611	18.6	0.1	H	16257
30611	18.2	0	K	16257
580	15.97	0.09	v_swift	16263
5790.5	18.68	0.15	v_swift	16263
959	16.84	0.08	b_swift	16263
5892.5	19.56	0.19	b_swift	16263
443.5	15.37	0.07	u_swift	16263
6344.5	19.08	0.18	u_swift	16263
996	17.52	0.19	uvw1_swift	16263
6200.5	20.1	0.34	uvw1_swift	16263
971	18.71	0	uvm2_swift	16263
5994.5	20.17	0	uvm2_swift	16263
922	19.05	0	uvw2_swift	16263
5586	20.47	0	uvw2_swift	16263
186	14.45	0.04	Unfiltered	16307
318	14.72	0.05	Unfiltered	16307
425	15.6	0.12	Unfiltered	16307
508	15.41	0.1	Unfiltered	16307
591	15.75	0.13	Unfiltered	16307
673	15.98	0.16	Unfiltered	16307
754	16.46	0.22	Unfiltered	16307
931	16.37	0.2	Unfiltered	16307
1211	17.5	0.39	Unfiltered	16307
1552	16.82	0.27	Unfiltered	16307
