Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)
           1033.0000             780.0000    1.8663937981836792e+46    1.7190122644284917e+45
           2888.0000             780.0000    1.1776148665752016e+46    1.0846234060497404e+45
           4730.0000             780.0000    6.7764661944913089e+45    6.2413561967211504e+44
           6562.0000             720.0000    7.4302474393587354e+45    6.8435109934602636e+44
           8368.0000             750.0000    6.7764661944913089e+45    6.2413561967211504e+44
          10187.0000             780.0000    5.6364190612084786e+45    1.0382667905460284e+45
          12020.0000             780.0000    7.4302474393587354e+45    6.8435109934602636e+44
          13836.0000             750.0000    1.0739975214292414e+46    9.8918830157887969e+44
          15020.0000             150.0000    1.9724376466325350e+46    9.0834113054851493e+44
          15645.0000             780.0000    1.5523987396787193e+46    1.4298121197080972e+45
          15883.4000             150.0000    2.0845066425099665e+46    5.7597048713585228e+44
          17473.0000             750.0000    1.4158044756463294e+46    1.3040041496265581e+45
          19322.0000             750.0000    1.5523987396787193e+46    1.4298121197080972e+45
          22340.0000             150.0000    2.6242383923136111e+46    1.2085064753111798e+45
          23840.9000             150.0000    2.5763406429407840e+46    4.7457949837496639e+44
          30800.0000             150.0000    2.5061282068925549e+46    9.2329177863127752e+44
          40557.6000             450.0000    1.8663937981836792e+46    1.7190122644284917e+45
          92921.0000             450.0000    6.0674090554928083e+45    5.5882904185851663e+44
          93902.0000             450.0000    6.1802106134229462e+45    3.9845291471150443e+44
          95210.0000             450.0000    6.5313547922718296e+45    2.4062400983490925e+44
         101867.0000            3030.0000    4.2756610856954319e+45    3.9380295048144787e+44
         105800.0000             450.0000    5.5847440598813807e+45    5.1437395162655073e+44
         119631.9000             150.0000    3.6898037863746890e+45    1.0195304926996798e+44
         119631.9000             150.0000    4.5604035340791460e+45    5.4603730989089261e+44
         119979.9000             150.0000    3.4277036875919539e+45    1.2628127426337398e+44
         119979.9000             150.0000    4.2756610856954319e+45    5.9070442572217188e+44
         123090.9000             150.0000    3.3037202966703526e+45    9.1285167906330010e+43
         123090.9000             150.0000    4.1210062473104906e+45    4.9342632697072427e+44
         123438.9000             150.0000    3.0690451035597192e+45    8.4800852503435558e+43
         123438.9000             150.0000    3.7931784308437427e+45    4.8911051623640393e+44
         123786.9000             150.0000    3.3962783108267216e+45    1.2512352056474310e+44
         124134.9000             150.0000    3.6224572764263792e+45    1.3345626183724273e+44
         126735.4000             600.0000    3.4914294579408659e+45    1.6078627309060018e+44
         208890.7000             900.0000    1.5100915117825378e+45    1.6690148660093708e+44
         210696.5000             900.0000    1.3152347215566886e+45    1.9382015685293323e+44
         285942.7000             600.0000    1.0447280710376199e+45    6.7356109851944215e+43
         306644.8000            1350.0000    8.9331219547625473e+44    3.2910838462528968e+43
         380032.2000            1200.0000    5.1404750955435174e+44    2.3672763333300819e+43
         382257.0000              60.0000    5.0933469358911975e+44    1.2196979668276796e+44
         382782.8000             300.0000    4.8195141425001295e+44    5.7706177045213440e+43
         393932.9000             300.0000    5.2844921805078027e+44    4.8671973076688151e+43
