time_sec	flux	flux_err	band_init	band_norm	source
139	1.248860098185907e-11	1.15024265812718e-12	R	R	14008
639	1.397288289520845e-12	2.9660378199815667e-13	v_swift	R	14017
563.5	9.19586520880194e-13	1.4679567180509422e-13	b_swift	R	14017
422.5	3.826101815600251e-13	2.7994084974410222e-14	u_swift	R	14017
20776.6	8.25113684349554e-14	4.5597467270608255e-15	R	R	14019
29482.3	4.618636569122991e-14	2.9777450399255335e-15	R	R	14019
14491	4.078688505224252e-13	5.3084984532309586e-14	Ic	R	14023
32794	5.69350848875536e-14	2.623803722713019e-15	Rc	R	14043
35403	8.289351179017518e-14	8.525262020255803e-15	Ic	R	14043
19892.736	9.561230536779916e-14	4.4031093809337786e-15	R	R	14256
20776.608	9.047191642286546e-14	3.3331085774382907e-15	R	R	14256
21384.864	9.649699513689607e-14	3.5550806803349725e-15	R	R	14256
21992.26	8.175489966217032e-14	3.7649522648267466e-15	R	R	14256
23046.336	8.25113684349554e-14	3.799788939217355e-15	R	R	14256
24306.05	7.387777205393969e-14	3.402197132700273e-15	R	R	14256
25426.656	7.05527245832941e-14	3.249073037912151e-15	R	R	14256
26650.08	7.45613546623543e-14	2.746941820143665e-15	R	R	14256
27871.78	6.317042370540644e-14	2.9091055188437315e-15	R	R	14256
29797.632	5.868320026096882e-14	2.161968994081457e-15	R	R	14256
