Time        Mag	MagErr		Band		GCN
20541.6         18.76  0.14	J		7515
21619		18.85  0.13	J		7515
22832.9         19.42  0.26	J		7515
212.5            >20.6	?	white		7518
3034           >21.5	?	white		7518
391           >19.3	?	v		7518
3283           >19.6	?	v		7518
5600.5           >20.6	?	b		7518
13171           >20.9	?	u		7518
12950          >21.8	?	uvw1		7518
6965.5           >21.1	?	uvm2		7518
6011.5          >20.1	?	uvw2		7518
20520		>20.4	?	J		7520
20520		>19.4	?	H		7520
20520		>19	?	K		7520
20520		18.60	0.06	J		7520
36000		18.62	0.03	J		7524
49525         	>17.2	?	g'		7522
49525         	>16.4	?	Rc		7522
49525         	>17.0	?	Ic		7522
189409		19.0	0.1	I		7529
118963		>20.6	?	R		7563
