20541.6	18.76	0.14	J	7515
21619	18.85	0.13	J	7515
22832.9	19.42	0.26	J	7515
391	19.3	0	v_swift	7518
3283	19.6	0	v_swift	7518
5600.5	20.6	0	b_swift	7518
13171	20.9	0	u_swift	7518
12950	21.8	0	uvw1_swift	7518
6965.5	21.1	0	uvm2_swift	7518
6011.5	20.1	0	uvw2_swift	7518
20520	20.4	0	J	7520
20520	19.4	0	H	7520
20520	19	0	K	7520
20520	18.6	0.06	J	7520
36000	18.62	0.03	J	7524
49525	17.2	0	g'	7522
49525	16.4	0	Rc	7522
49525	17	0	Ic	7522
189409	19	0.1	I	7529
118963	20.6	0	R	7563
