1920	20.6	0.1	g'	19272
1920	20.5	0.1	r'	19272
1920	20.7	0.1	i'	19272
1920	20.5	0.2	z'	19272
1920	20	0	J	19272
1920	19.6	0	H	19272
1920	18	0	K	19272
462	20.29	0.06	r	19274
5685	19.7	0	v_swift	19275
5069	20.2	0	b_swift	19275
6357.5	20.5	0.2	u_swift	19275
8539	20.3	0	uvw1_swift	19275
7982.5	20.8	0	uvm2_swift	19275
5480	20.5	0	uvw2_swift	19275
60	17.3	0	I	19277
360	1934	0	I	19277
27000	22.1	0.2	R	19280
25560	19.8	0	g'	19285
25560	19.7	0	Rc	19285
25560	19.1	0	Ic	19285
28	18.4	0.3	R	19287
46	18.7	0	R	19287
91080	20	0	J	19290
91080	19.5	0	K	19290
62280	24.15	0.09	r	19295
145332	25	0	r	19300
52560	21.1	0	Ic	19309
74520	20.3	0	I	19311
74520	17.5	0	J	19311
