252	18.7	0	r	17315
1552	19.7	0	r	17315
1070	19.21	0.07	r	17316
17420	19.6	0	g'	17331
17420	19.6	0	Rc	17331
17420	19.1	0	Ic	17331
69033.6	22.7	0	r	17335
64985	24.2	0	g'	17336
64985	23.6	0.1	r'	17336
64985	22.7	0.2	i'	17336
64985	22.4	0.4	z'	17336
64985	20.2	0.3	J	17336
64985	19.9	0.5	H	17336
64985	18.7	0.4	K	17336
12907	20.1	0	v_swift	17338
16476	20.9	0	b_swift	17338
16111	21	0	u_swift	17338
1654.5	19.6	0	uvw1_swift	17338
15552	21	0	uvw1_swift	17338
13376.5	21	0	uvm2_swift	17338
2460.5	19.5	0	uvw2_swift	17338
13065	20.8	0	uvw2_swift	17338
15120	21.3	0.2	R	17339
76266	23.4	0.2	r	17343
76266	22.6	0.1	i	17343
76266	20.72	0	z	17343
17408.7	21.25	0.22	R	17347
21036.7	21.43	0.25	R	17347
15610.8	20.75	0.2	None	17366
