18000	19.7	0.1	g'	15829
18000	19.4	0.1	r'	15829
18000	19.2	0.1	i'	15829
18000	19.1	0.1	z'	15829
18000	18.7	0.1	J	15829
18000	18.5	0.1	H	15829
18000	18.4	0.1	K	15829
3684	18.03	0.12	v_swift	15834
9670.5	19.06	0.13	v_swift	15834
27701	19.73	0.35	v_swift	15834
4505	18.4	0.09	b_swift	15834
62079.5	19.52	0.13	b_swift	15834
4299.5	17.4	0.06	u_swift	15834
21963.5	18.81	0.11	u_swift	15834
61409.5	18.91	0.08	u_swift	15834
4094.5	17.65	0.1	uvw1_swift	15834
18291.5	18.79	0.08	uvw1_swift	15834
3889	17.77	0.14	uvm2_swift	15834
10450	18.52	0.12	uvm2_swift	15834
41730.5	19.47	0.14	uvm2_swift	15834
67139	19.26	0.15	uvm2_swift	15834
4914	18.46	0.17	uvw2_swift	15834
26893	20.06	0.21	uvw2_swift	15834
457920	20.7	0.2	I	15862
449280	21.3	0.3	R	15862
457920	21.7	0	V	15862
457920	21.6	0	B	15862
