time_sec	flux	flux_err	band_init	band_norm	source
49282.6	7.160493793425252e-13	1.3395894925728234e-14	r'	R	30982
120960	1.9173871052825644e-13	2.472370301028677e-14	R	R	30990
181669	1.1033411157148688e-13	1.524322083319485e-14	R	R	31004
190908	1.0600905733273525e-13	8.696674249396556e-15	r'	R	31008
190908	1.5246806191440545e-13	1.1712267998973875e-14	i'	R	31008
267133	5.790416487274716e-14	3.1999024045981694e-15	R	R	31018
269172	5.684729475610967e-14	8.37732694287723e-15	R	R	31020
389829	4.233599803493313e-14	3.89928951889049e-15	R	R	31020
386981	4.685002234388861e-14	1.726018608887614e-14	R	R	31020
456192	2.7714675778908226e-14	2.042092777781671e-15	R	R	31023
542592	9.093054673215992e-15	2.763754242523162e-15	R	R	31041
135700	1.6708711972181247e-13	2.001352371116151e-14	r'	R	31042
1.15E+06	2.2218247605852653e-14	8.185504916749913e-16	R	R	31053
1.43E+06	2.057222300126204e-14	1.7058737452271136e-15	Rc	R	31066
1.43E+06	2.26757058017623e-14	2.9665791106204753e-15	Ic	R	31066
