Time	Mag	MagErr	Filter	Telescope	Source
216.0	11.13	100.0	RC	P60	cenko09
302.0	11.55	0.03	ii	P60	cenko09
388.0	11.51	0.1	zz	P60	cenko09
474.0	12.15	100.0	RC	P60	cenko09
560.0	12.59	0.04	ii	P60	cenko09
647.0	12.65	0.26	zz	P60	cenko09
733.0	13.01	0.07	RC	P60	cenko09
819.0	13.33	0.04	ii	P60	cenko09
905.0	13.4	0.05	zz	P60	cenko09
1050.0	13.7	0.04	RC	P60	cenko09
1200.0	14.04	0.13	ii	P60	cenko09
1350.0	14.22	0.07	zz	P60	cenko09
1490.0	14.91	0.09	g	P60	cenko09
1640.0	14.68	0.09	RC	P60	cenko09
1780.0	14.99	0.03	ii	P60	cenko09
1930.0	15.01	0.06	zz	P60	cenko09
2080.0	15.5	0.1	g	P60	cenko09
2220.0	15.29	0.06	RC	P60	cenko09
2370.0	15.51	0.04	ii	P60	cenko09
2510.0	15.47	0.05	zz	P60	cenko09
2660.0	15.92	0.08	g	P60	cenko09
3350.0	15.93	0.05	RC	P60	cenko09
3430.0	16.09	0.03	ii	P60	cenko09
3510.0	16.02	0.06	zz	P60	cenko09
3590.0	16.01	0.05	RC	P60	cenko09
3670.0	16.18	0.04	ii	P60	cenko09
3740.0	16.12	0.05	zz	P60	cenko09
3830.0	16.11	0.05	RC	P60	cenko09
3900.0	16.27	0.04	ii	P60	cenko09
3980.0	16.23	0.06	zz	P60	cenko09
4060.0	16.19	0.06	RC	P60	cenko09
4140.0	16.34	0.03	ii	P60	cenko09
4220.0	16.27	0.04	zz	P60	cenko09
4300.0	16.27	0.06	RC	P60	cenko09
4380.0	16.41	0.02	ii	P60	cenko09
4460.0	16.33	0.04	zz	P60	cenko09
4540.0	16.32	0.05	RC	P60	cenko09
4620.0	16.49	0.03	ii	P60	cenko09
4700.0	16.42	0.03	zz	P60	cenko09
4780.0	16.39	0.06	RC	P60	cenko09
4860.0	16.55	0.03	ii	P60	cenko09
4940.0	16.48	0.05	zz	P60	cenko09
5020.0	16.49	0.06	RC	P60	cenko09
5100.0	16.61	0.04	ii	P60	cenko09
5170.0	16.53	0.05	zz	P60	cenko09
5260.0	16.53	0.05	RC	P60	cenko09
5330.0	16.69	0.03	ii	P60	cenko09
5410.0	16.6	0.03	zz	P60	cenko09
5490.0	16.61	0.05	RC	P60	cenko09
5570.0	16.74	0.03	ii	P60	cenko09
5650.0	16.68	0.04	zz	P60	cenko09
5730.0	16.65	0.05	RC	P60	cenko09
5810.0	16.81	0.03	ii	P60	cenko09
5890.0	16.71	0.05	zz	P60	cenko09
5970.0	16.72	0.06	RC	P60	cenko09
6050.0	16.84	0.03	ii	P60	cenko09
6130.0	16.77	0.04	zz	P60	cenko09
6210.0	16.76	0.05	RC	P60	cenko09
6290.0	16.9	0.03	ii	P60	cenko09
6370.0	16.85	0.04	zz	P60	cenko09
6450.0	16.82	0.06	RC	P60	cenko09
6520.0	16.95	0.03	ii	P60	cenko09
6600.0	16.91	0.03	zz	P60	cenko09
6680.0	16.86	0.05	RC	P60	cenko09
6760.0	16.98	0.04	ii	P60	cenko09
6840.0	16.88	0.03	zz	P60	cenko09
6920.0	16.91	0.06	RC	P60	cenko09
7000.0	17.05	0.03	ii	P60	cenko09
7080.0	16.96	0.06	zz	P60	cenko09
7160.0	16.94	0.06	RC	P60	cenko09
7240.0	17.09	0.03	ii	P60	cenko09
7320.0	17.0	0.05	zz	P60	cenko09
7400.0	17.02	0.06	RC	P60	cenko09
7480.0	17.13	0.06	ii	P60	cenko09
7560.0	17.04	0.06	zz	P60	cenko09
7640.0	17.02	0.03	RC	P60	cenko09
7720.0	17.18	0.04	ii	P60	cenko09
7790.0	17.12	0.04	zz	P60	cenko09
7880.0	17.09	0.06	RC	P60	cenko09
7950.0	17.21	0.03	ii	P60	cenko09
8030.0	17.12	0.06	zz	P60	cenko09
8110.0	17.14	0.06	RC	P60	cenko09
8190.0	17.25	0.03	ii	P60	cenko09
8270.0	17.21	0.03	zz	P60	cenko09
8350.0	17.15	0.06	RC	P60	cenko09
8430.0	17.3	0.03	ii	P60	cenko09
8510.0	17.21	0.05	zz	P60	cenko09
8590.0	17.2	0.06	RC	P60	cenko09
8670.0	17.34	0.03	ii	P60	cenko09
8750.0	17.28	0.03	zz	P60	cenko09
9130.0	17.3	0.05	RC	P60	cenko09
9210.0	17.41	0.04	ii	P60	cenko09
9290.0	17.34	0.05	zz	P60	cenko09
9370.0	17.31	0.06	RC	P60	cenko09
9450.0	17.45	0.04	ii	P60	cenko09
9530.0	17.33	0.04	zz	P60	cenko09
9610.0	17.38	0.05	RC	P60	cenko09
9690.0	17.47	0.04	ii	P60	cenko09
9770.0	17.36	0.04	zz	P60	cenko09
9850.0	17.41	0.06	RC	P60	cenko09
9930.0	17.48	0.04	ii	P60	cenko09
10010.0	17.45	0.03	zz	P60	cenko09
10130.0	17.43	0.06	RC	P60	cenko09
10130.0	17.52	0.04	ii	P60	cenko09
10230.0	17.49	0.04	zz	P60	cenko09
10330.0	17.45	0.06	RC	P60	cenko09
10430.0	17.6	0.03	ii	P60	cenko09
10430.0	17.52	0.06	zz	P60	cenko09
10530.0	17.49	0.08	RC	P60	cenko09
10630.0	17.64	0.04	ii	P60	cenko09
10730.0	17.53	0.08	zz	P60	cenko09
10830.0	17.52	0.09	RC	P60	cenko09
10830.0	17.63	0.03	ii	P60	cenko09
10930.0	17.54	0.06	zz	P60	cenko09
11030.0	17.57	0.06	RC	P60	cenko09
11130.0	17.66	0.02	ii	P60	cenko09
11230.0	17.57	0.08	zz	P60	cenko09
11230.0	17.61	0.05	RC	P60	cenko09
11330.0	17.7	0.03	ii	P60	cenko09
11430.0	17.66	0.07	zz	P60	cenko09
11530.0	17.61	0.05	RC	P60	cenko09
11630.0	17.72	0.03	ii	P60	cenko09
11630.0	17.62	0.04	zz	P60	cenko09
11730.0	17.64	0.05	RC	P60	cenko09
11830.0	17.76	0.04	ii	P60	cenko09
11930.0	17.67	0.04	zz	P60	cenko09
12030.0	17.67	0.06	RC	P60	cenko09
12030.0	17.78	0.05	ii	P60	cenko09
12130.0	17.71	0.04	zz	P60	cenko09
12230.0	17.7	0.06	RC	P60	cenko09
12330.0	17.81	0.04	ii	P60	cenko09
12430.0	17.68	0.04	zz	P60	cenko09
12430.0	17.69	0.06	RC	P60	cenko09
12530.0	17.82	0.04	ii	P60	cenko09
12630.0	17.72	0.06	zz	P60	cenko09
12730.0	17.75	0.06	RC	P60	cenko09
12830.0	17.85	0.04	ii	P60	cenko09
12830.0	17.71	0.05	zz	P60	cenko09
12930.0	17.78	0.06	RC	P60	cenko09
13030.0	17.86	0.06	ii	P60	cenko09
13130.0	17.74	0.08	zz	P60	cenko09
13230.0	17.81	0.06	RC	P60	cenko09
13230.0	17.91	0.05	ii	P60	cenko09
13330.0	17.79	0.05	zz	P60	cenko09
13430.0	17.8	0.06	RC	P60	cenko09
13530.0	17.9	0.04	ii	P60	cenko09
13630.0	17.88	0.06	zz	P60	cenko09
13630.0	17.83	0.07	RC	P60	cenko09
13730.0	17.94	0.04	ii	P60	cenko09
13830.0	17.83	0.04	zz	P60	cenko09
13930.0	17.85	0.06	RC	P60	cenko09
14030.0	17.95	0.05	ii	P60	cenko09
14030.0	17.89	0.08	zz	P60	cenko09
14130.0	17.84	0.06	RC	P60	cenko09
14230.0	18.01	0.04	ii	P60	cenko09
14330.0	17.93	0.06	zz	P60	cenko09
14430.0	17.92	0.07	RC	P60	cenko09
14430.0	18.02	0.04	ii	P60	cenko09
14530.0	17.87	0.08	zz	P60	cenko09
14630.0	17.92	0.06	RC	P60	cenko09
14730.0	18.04	0.04	ii	P60	cenko09
14830.0	17.92	0.07	zz	P60	cenko09
14830.0	17.99	0.06	RC	P60	cenko09
14930.0	18.07	0.04	ii	P60	cenko09
15030.0	17.96	0.04	zz	P60	cenko09
15130.0	17.97	0.05	RC	P60	cenko09
15230.0	18.05	0.04	ii	P60	cenko09
15230.0	18.02	0.05	zz	P60	cenko09
15330.0	17.97	0.05	RC	P60	cenko09
15430.0	18.1	0.03	ii	P60	cenko09
15530.0	18.17	0.07	zz	P60	cenko09
15530.0	18.02	0.06	RC	P60	cenko09
15630.0	18.07	0.03	ii	P60	cenko09
15730.0	18.12	0.07	zz	P60	cenko09
15830.0	18.05	0.1	RC	P60	cenko09
15930.0	18.16	0.03	ii	P60	cenko09
15930.0	18.02	0.05	zz	P60	cenko09
16030.0	18.07	0.06	RC	P60	cenko09
16130.0	18.19	0.04	ii	P60	cenko09
16230.0	18.12	0.06	zz	P60	cenko09
16330.0	18.11	0.07	RC	P60	cenko09
16330.0	18.18	0.03	ii	P60	cenko09
16430.0	18.09	0.05	zz	P60	cenko09
16530.0	18.09	0.06	RC	P60	cenko09
16630.0	18.23	0.03	ii	P60	cenko09
16630.0	18.13	0.07	zz	P60	cenko09
16730.0	18.16	0.06	RC	P60	cenko09
16830.0	18.2	0.03	ii	P60	cenko09
16930.0	18.02	0.05	zz	P60	cenko09
17030.0	18.11	0.07	RC	P60	cenko09
17030.0	18.24	0.03	ii	P60	cenko09
17230.0	18.19	0.07	RC	P60	cenko09
17330.0	18.32	0.03	ii	P60	cenko09
17430.0	18.26	0.05	zz	P60	cenko09
17430.0	18.17	0.06	RC	P60	cenko09
17530.0	18.28	0.03	ii	P60	cenko09
17630.0	18.18	0.11	zz	P60	cenko09
17730.0	18.23	0.07	RC	P60	cenko09
17830.0	18.3	0.03	ii	P60	cenko09
17930.0	18.15	0.06	zz	P60	cenko09
18030.0	18.27	0.04	RC	P60	cenko09
18130.0	18.36	0.03	ii	P60	cenko09
18230.0	18.16	0.07	zz	P60	cenko09
18330.0	18.27	0.08	RC	P60	cenko09
18430.0	18.36	0.04	ii	P60	cenko09
18430.0	18.11	0.07	zz	P60	cenko09
18530.0	18.24	0.07	RC	P60	cenko09
18630.0	18.4	0.03	ii	P60	cenko09
18730.0	18.3	0.06	zz	P60	cenko09
18830.0	18.27	0.06	RC	P60	cenko09
18830.0	18.39	0.03	ii	P60	cenko09
18930.0	18.31	0.07	zz	P60	cenko09
19030.0	18.31	0.06	RC	P60	cenko09
19130.0	18.44	0.03	ii	P60	cenko09
19130.0	18.28	0.07	zz	P60	cenko09
19230.0	18.34	0.06	RC	P60	cenko09
19330.0	18.39	0.03	ii	P60	cenko09
19430.0	18.23	0.06	zz	P60	cenko09
19530.0	18.38	0.06	RC	P60	cenko09
19530.0	18.46	0.03	ii	P60	cenko09
19630.0	18.33	0.05	zz	P60	cenko09
19730.0	18.38	0.05	RC	P60	cenko09
19830.0	18.45	0.04	ii	P60	cenko09
19930.0	18.33	0.08	zz	P60	cenko09
19930.0	18.29	0.07	RC	P60	cenko09
20030.0	18.46	0.03	ii	P60	cenko09
20130.0	18.38	0.06	zz	P60	cenko09
20230.0	18.38	0.06	RC	P60	cenko09
20330.0	18.49	0.05	ii	P60	cenko09
20330.0	18.41	0.06	zz	P60	cenko09
20430.0	18.39	0.04	RC	P60	cenko09
20530.0	18.52	0.04	ii	P60	cenko09
20630.0	18.34	0.1	zz	P60	cenko09
20630.0	18.39	0.06	RC	P60	cenko09
20730.0	18.54	0.04	ii	P60	cenko09
20830.0	18.32	0.07	zz	P60	cenko09
20930.0	18.45	0.06	RC	P60	cenko09
21030.0	18.5	0.05	ii	P60	cenko09
21030.0	18.45	0.06	zz	P60	cenko09
21130.0	18.42	0.06	RC	P60	cenko09
21230.0	18.53	0.04	ii	P60	cenko09
21330.0	18.31	0.05	zz	P60	cenko09
21430.0	18.44	0.06	RC	P60	cenko09
21430.0	18.54	0.04	ii	P60	cenko09
21530.0	18.38	0.09	zz	P60	cenko09
21630.0	18.45	0.06	RC	P60	cenko09
21730.0	18.61	0.04	ii	P60	cenko09
21830.0	18.5	0.08	zz	P60	cenko09
21830.0	18.44	0.05	RC	P60	cenko09
21930.0	18.51	0.04	ii	P60	cenko09
22030.0	18.46	0.07	zz	P60	cenko09
22130.0	18.45	0.06	RC	P60	cenko09
22230.0	18.59	0.05	ii	P60	cenko09
22230.0	18.45	0.1	zz	P60	cenko09
22330.0	18.49	0.07	RC	P60	cenko09
22430.0	18.6	0.08	ii	P60	cenko09
22530.0	18.49	0.08	zz	P60	cenko09
22630.0	18.57	0.06	RC	P60	cenko09
22630.0	18.66	0.04	ii	P60	cenko09
22730.0	18.52	0.08	zz	P60	cenko09
22830.0	18.6	0.07	RC	P60	cenko09
22930.0	18.67	0.05	ii	P60	cenko09
23030.0	18.57	0.1	zz	P60	cenko09
23030.0	18.57	0.06	RC	P60	cenko09
23130.0	18.65	0.05	ii	P60	cenko09
23230.0	18.62	0.1	zz	P60	cenko09
23330.0	18.54	0.06	RC	P60	cenko09
23430.0	18.69	0.05	ii	P60	cenko09
23430.0	18.47	0.07	zz	P60	cenko09
23530.0	18.53	0.07	RC	P60	cenko09
84670.0	20.08	0.16	RC	P60	cenko09
85270.0	20.17	0.08	ii	P60	cenko09
87870.0	20.02	0.1	RC	P60	cenko09
88470.0	20.24	0.07	ii	P60	cenko09
90970.0	19.97	0.17	RC	P60	cenko09
91570.0	20.46	0.08	ii	P60	cenko09
94270.0	20.36	0.09	RC	P60	cenko09
94870.0	20.62	0.1	ii	P60	cenko09
97370.0	20.73	0.12	RC	P60	cenko09
97970.0	20.73	0.13	ii	P60	cenko09
100270.0	20.59	0.1	RC	P60	cenko09
101270.0	20.58	0.06	ii	P60	cenko09
104270.0	20.37	0.09	RC	P60	cenko09
104270.0	20.55	0.08	ii	P60	cenko09
171810.0	20.99	0.1	RC	P60	cenko09
173810.0	21.32	0.11	ii	P60	cenko09
186900.0	21.58	0.12	RC	P60	cenko09
188900.0	21.66	0.12	ii	P60	cenko09
277700.0	21.9	0.11	RC	P60	cenko09
279700.0	22.21	0.1	ii	P60	cenko09
436700.0	22.84	0.27	RC	P60	cenko09
438700.0	22.48	0.14	ii	P60	cenko09
525700.0	22.73	0.19	RC	P60	cenko09
527700.0	22.92	0.17	ii	P60	cenko09
612700.0	22.89	0.18	RC	P60	cenko09
614700.0	22.72	0.12	ii	P60	cenko09
6.87	8.41	0.12	CR	RAPTOR	wokniak09
37.2	5.5	0.02	CR	RAPTOR	wokniak09
60.5	6.75	0.04	CR	RAPTOR	wokniak09
83.8	7.94	0.09	CR	RAPTOR	wokniak09
100.0	8.35	0.02	CR	RAPTOR	wokniak09
116.0	8.76	0.02	CR	RAPTOR	wokniak09
132.0	9.09	0.02	CR	RAPTOR	wokniak09
148.0	9.39	0.02	CR	RAPTOR	wokniak09
164.0	9.59	0.02	CR	RAPTOR	wokniak09
180.0	9.83	0.02	CR	RAPTOR	wokniak09
196.0	9.98	0.02	CR	RAPTOR	wokniak09
212.0	10.15	0.02	CR	RAPTOR	wokniak09
228.0	10.43	0.02	CR	RAPTOR	wokniak09
244.0	10.57	0.02	CR	RAPTOR	wokniak09
260.0	10.71	0.02	CR	RAPTOR	wokniak09
276.0	10.87	0.03	CR	RAPTOR	wokniak09
292.0	11.05	0.03	CR	RAPTOR	wokniak09
307.0	11.25	0.03	CR	RAPTOR	wokniak09
323.0	11.36	0.03	CR	RAPTOR	wokniak09
339.0	11.57	0.04	CR	RAPTOR	wokniak09
355.0	11.58	0.04	CR	RAPTOR	wokniak09
371.0	11.8	0.04	CR	RAPTOR	wokniak09
387.0	11.82	0.04	CR	RAPTOR	wokniak09
417.0	11.96	0.03	CR	RAPTOR	wokniak09
457.0	12.22	0.03	CR	RAPTOR	wokniak09
496.0	12.42	0.04	CR	RAPTOR	wokniak09
535.0	12.62	0.04	CR	RAPTOR	wokniak09
575.0	12.7	0.05	CR	RAPTOR	wokniak09
615.0	12.75	0.05	CR	RAPTOR	wokniak09
102.0	8.71	0.02	VJ	RAPTOR	wokniak09
115.0	9.05	0.02	VJ	RAPTOR	wokniak09
128.0	9.32	0.02	VJ	RAPTOR	wokniak09
141.0	9.52	0.02	VJ	RAPTOR	wokniak09
154.0	9.72	0.02	VJ	RAPTOR	wokniak09
167.0	9.93	0.02	VJ	RAPTOR	wokniak09
181.0	10.06	0.02	VJ	RAPTOR	wokniak09
194.0	10.23	0.02	VJ	RAPTOR	wokniak09
206.0	10.44	0.02	VJ	RAPTOR	wokniak09
115.0	8.76	0.02	RC	RAPTOR	wokniak09
128.0	8.98	0.02	RC	RAPTOR	wokniak09
141.0	9.2	0.02	RC	RAPTOR	wokniak09
154.0	9.43	0.02	RC	RAPTOR	wokniak09
167.0	9.61	0.02	RC	RAPTOR	wokniak09
181.0	9.81	0.02	RC	RAPTOR	wokniak09
194.0	9.98	0.02	RC	RAPTOR	wokniak09
206.0	10.14	0.02	RC	RAPTOR	wokniak09
102.0	7.99	0.02	IC	RAPTOR	wokniak09
115.0	8.25	0.02	IC	RAPTOR	wokniak09
128.0	8.54	0.02	IC	RAPTOR	wokniak09
141.0	8.74	0.02	IC	RAPTOR	wokniak09
154.0	9.0	0.02	IC	RAPTOR	wokniak09
167.0	9.16	0.02	IC	RAPTOR	wokniak09
181.0	9.32	0.02	IC	RAPTOR	wokniak09
194.0	9.5	0.02	IC	RAPTOR	wokniak09
206.0	9.66	0.02	IC	RAPTOR	wokniak09
219.0	10.25	0.02	CR	RAPTOR	wokniak09
232.0	10.4	0.02	CR	RAPTOR	wokniak09
244.0	10.52	0.02	CR	RAPTOR	wokniak09
257.0	10.64	0.02	CR	RAPTOR	wokniak09
270.0	10.79	0.02	CR	RAPTOR	wokniak09
283.0	10.93	0.02	CR	RAPTOR	wokniak09
296.0	11.05	0.02	CR	RAPTOR	wokniak09
309.0	11.16	0.02	CR	RAPTOR	wokniak09
322.0	11.32	0.02	CR	RAPTOR	wokniak09
335.0	11.41	0.02	CR	RAPTOR	wokniak09
360.0	11.58	0.02	CR	RAPTOR	wokniak09
396.0	11.77	0.02	CR	RAPTOR	wokniak09
431.0	12.05	0.02	CR	RAPTOR	wokniak09
466.0	12.11	0.02	CR	RAPTOR	wokniak09
502.0	12.3	0.02	CR	RAPTOR	wokniak09
538.0	12.48	0.02	CR	RAPTOR	wokniak09
573.0	12.51	0.02	CR	RAPTOR	wokniak09
609.0	12.73	0.02	CR	RAPTOR	wokniak09
644.0	12.8	0.02	CR	RAPTOR	wokniak09
680.0	12.9	0.02	CR	RAPTOR	wokniak09
715.0	12.97	0.02	CR	RAPTOR	wokniak09
750.0	13.03	0.02	CR	RAPTOR	wokniak09
786.0	13.19	0.02	CR	RAPTOR	wokniak09
822.0	13.28	0.02	CR	RAPTOR	wokniak09
857.0	13.32	0.02	CR	RAPTOR	wokniak09
893.0	13.41	0.02	CR	RAPTOR	wokniak09
928.0	13.53	0.02	CR	RAPTOR	wokniak09
964.0	13.69	0.02	CR	RAPTOR	wokniak09
999.0	13.74	0.02	CR	RAPTOR	wokniak09
1030.0	13.75	0.02	CR	RAPTOR	wokniak09
1070.0	13.89	0.02	CR	RAPTOR	wokniak09
1110.0	13.91	0.02	CR	RAPTOR	wokniak09
1140.0	13.94	0.02	CR	RAPTOR	wokniak09
1180.0	14.01	0.02	CR	RAPTOR	wokniak09
1210.0	14.16	0.02	CR	RAPTOR	wokniak09
1250.0	14.14	0.02	CR	RAPTOR	wokniak09
1280.0	14.3	0.02	CR	RAPTOR	wokniak09
1320.0	14.28	0.02	CR	RAPTOR	wokniak09
1360.0	14.33	0.02	CR	RAPTOR	wokniak09
1390.0	14.41	0.02	CR	RAPTOR	wokniak09
1430.0	14.46	0.02	CR	RAPTOR	wokniak09
1460.0	14.45	0.02	CR	RAPTOR	wokniak09
1500.0	14.73	0.02	CR	RAPTOR	wokniak09
1530.0	14.61	0.02	CR	RAPTOR	wokniak09
1570.0	14.64	0.02	CR	RAPTOR	wokniak09
1600.0	14.68	0.02	CR	RAPTOR	wokniak09
1640.0	14.73	0.02	CR	RAPTOR	wokniak09
1670.0	14.78	0.03	CR	RAPTOR	wokniak09
1710.0	14.8	0.02	CR	RAPTOR	wokniak09
1750.0	14.81	0.02	CR	RAPTOR	wokniak09
1780.0	14.93	0.03	CR	RAPTOR	wokniak09
1820.0	15.0	0.02	CR	RAPTOR	wokniak09
1850.0	15.03	0.03	CR	RAPTOR	wokniak09
1890.0	15.0	0.03	CR	RAPTOR	wokniak09
1920.0	15.0	0.03	CR	RAPTOR	wokniak09
1960.0	15.05	0.03	CR	RAPTOR	wokniak09
