time,mag,err,band,sys,source,telescope,gal_ext_corr
3329,18.4,0.3,v_swift,swift,3115,Swift-UVOT,no
34000,22,0,uvw2_swift,swift,3123,Swift-UVOT,no
34000,22.1,0,uvm2_swift,swift,3123,Swift-UVOT,no
34000,21.5,0,uvw1_swift,swift,3123,Swift-UVOT,no
34000,20.5,0.2,u_swift,swift,3123,Swift-UVOT,no
34000,20,0.1,b_swift,swift,3123,Swift-UVOT,no
34000,19.7,0.1,v_swift,swift,3123,Swift-UVOT,no
86400,21.04,0.4,Rc,,arXiv0712.2186,,no
3280,17.8,0.25,v_swift_AB, AB_swift   ,astro-ph/0509060v1,Swift-UVOT,yes
3698,19.6,0.25,u_swift_AB, AB_swift   ,astro-ph/0509060v1,Swift-UVOT,yes
5822,18.9,0.1,b_swift_AB, AB_swift   ,astro-ph/0509060v1,Swift-UVOT,yes
11606.5,19.1,0.15,v_swift_AB, AB_swift   ,astro-ph/0509060v1,Swift-UVOT,yes
17394.5,22,0.5,u_swift_AB, AB_swift   ,astro-ph/0509060v1,Swift-UVOT,yes
23178.5,19.5,0.25,v_swift_AB, AB_swift   ,astro-ph/0509060v1,Swift-UVOT,yes
28965,21.8,0.4,u_swift_AB, AB_swift   ,astro-ph/0509060v1,Swift-UVOT,yes
40536.5,22.1,0.6,u_swift_AB, AB_swift   ,astro-ph/0509060v1,Swift-UVOT,yes
