time_sec	flux	flux_err	band	source
51349.7	3.028471614293841e-14	1.152531407695662e-15	r	nissim
51349.7	5.995237071425795e-14	1.8478893825208826e-15	i	nissim
43691.55	1.455783696715279e-13	1.8751037533340334e-14	Z	nissim
43691.55	1.455783696715279e-13	1.8751037533340334e-14	Z	nissim
51290.0	3.2971085944534133e-14	2.0159700102226638e-15	Z	nissim
51290.0	2.7696038320030313e-14	1.952908389431514e-15	Z	nissim
51290.0	3.4002368192100634e-14	2.5621218975498157e-15	Y	nissim
51290.0	2.994003927954931e-14	2.485275813874708e-15	Y	nissim
57007.45	1.3957974763174677e-13	2.212496880875562e-14	J	nissim
51290.0	6.571074767804404e-14	4.732591953728039e-15	J	nissim
51290.0	3.203390495389696e-14	3.192688648310214e-15	H	nissim
