Time	Mag	MagErr	Band			GCN
141	17.00	0.03	White			11102
1337.3	>16.6	?	Unfiltered		11103
1556.97	>18.5	?	Unfiltered		11103
9939	>20.5	?	R			11104
1440	>17.2	?	Polarized(MASTER)	11105
1470	>19.2	?	R			11106
29237	21.31	0.1	i			11108
39309	>22.4	?	R			11109
1979.88	>19.9	?	I			11112
166.	17.01	0.05	white(FC)_swift		11115
596.	18.9	0.19	white_swift		11115
4808.5	21.56	0.94	v_swift			11115
5602.	21.07	0.35	b_swift			11115
430.	18.02	0.08	u(FC)_swift		11115
4706.	20.39	0.35	u_swift			11115
5218.5	20.98	0.44	uvw1_swift		11115
19356.	>21.42	?	uvm2_swift		11115
16229.	>22.19	?	uvw2_swift		11115
87480.	23.0	0.1	R			11120
58274.2	>21.0	?	g'			11126
58274.2	>20.5	?	Rc			11126
58274.2	>19.9	?	Ic			11126
