Time	Mag	MagErr	Band	Telescope	Source
5700	20.6	0.1	R	none	5151
198	19.65	0.21	white	none	5158
749	18.4	0.0	white	none	5158
927	20.3	0.0	white	none	5158
6266	20.9	0.0	white	none	5158
74157	22.1	0.0	white	none	5158
452	20.1	0.0	V	none	5158
792	17.6	0.0	V	none	5158
1100	19.5	0.0	V	none	5158
18351	20.8	0.0	V	none	5158
3447	20.7	0.0	B	none	5158
18315	21.0	0.0	U	none	5158
17925	22.0	0.0	UVW1	none	5158
17533	21.9	0.0	UVM2	none	5158
23194	21.7	0.0	UVW2	none	5158
15120	20.9	0.0	z'	none	5232
15120	21.2	0.0	r'	none	5232
17640	21.5	0.0	i'	none	5232
17640	21.3	0.0	z'	none	5232
