Time	Mag	MagErr	Filter	Telescope	Source
8774	18.9	0	0	**WARNING**	11555
8791	19.2	0	0	**WARNING**	11555
693	16.5	0	R	**WARNING**	11552
1146	20.4	0	R	**WARNING**	11552
1368	21.0	0	I	**WARNING**	11552
3786	20.5	0	V	**WARNING**	11552
2334	20.3	0	R	**WARNING**	11552
5268	18.0	0	H	**WARNING**	11552
2594	20.4	0	z	2m-Liverpool	11537
2300	21.4	0	i	2m-Liverpool	11537
2620	22.5	0	r	2m-Liverpool	11537
840	20.0	0	R	Xinglong-TNT	11528
