Time	Mag	MagErr	Filter	Telescope	Source
141.0	17.0	0.03	White	none	11102
1337.3	16.6	0.0	Unfiltered	none	11103
1556.97	18.5	0.0	Unfiltered	none	11103
9939.0	20.5	0.0	R	La-Palma/-Italian-3.6m-TNG	11104
1440.0	17.2	0.0	Polarized(MASTER)	MASTER-Kislovodsk	11105
1470.0	19.2	0.0	R	TAROT-robotic-25cm	11106
29237.0	21.31	0.1	i	McDonald/2.1m	11108
39309.0	22.4	0.0	R	none	11109
1979.88	19.9	0.0	I	1.23m-Calar-Alto	11112
166.0	17.01	0.05	white(FC)_swift	Swift/UVOT	11115
596.0	18.9	0.19	white_swift	Swift/UVOT	11115
4808.5	21.56	0.94	v_swift	Swift/UVOT	11115
5602.0	21.07	0.35	b_swift	Swift/UVOT	11115
430.0	18.02	0.08	u(FC)_swift	Swift/UVOT	11115
4706.0	20.39	0.35	u_swift	Swift/UVOT	11115
5218.5	20.98	0.44	uvw1_swift	Swift/UVOT	11115
19356.0	21.42	0.0	uvm2_swift	Swift/UVOT	11115
16229.0	22.19	0.0	uvw2_swift	Swift/UVOT	11115
87480.0	23.0	0.1	R	none	11120
58274.2	21.0	0.0	g'	OAO/MITSuME-50cm	11126
58274.2	20.5	0.0	Rc	OAO/MITSuME-50cm	11126
58274.2	19.9	0.0	Ic	OAO/MITSuME-50cm	11126
