Time	Mag	MagErr	Filter	Telescope	Source
161.0	20.37	0.28	white	Swift/UVOT	7253
914.0	19.76	0.17	white	Swift/UVOT	7253
5536.0	20.59	0.25	white	Swift/UVOT	7253
417.0	18.07	0.09	v	Swift/UVOT	7253
1170.0	19.02	0.20	v	Swift/UVOT	7253
697.0	20.83	0(3sigmaUL)	b	Swift/UVOT	7253
3668.0	20.45	0(3sigmaUL)	u	Swift/UVOT	7253
3552.5	20.13	0(3sigmaUL)	uvw1	Swift/UVOT	7253
4073.5	20.03	0(3sigmaUL)	uvm2	Swift/UVOT	7253
4003.0	20.39	0(3sigmaUL)	uvw2	Swift/UVOT	7253
77.5	18.1	0	Unfiltered	none	7254
171.0	19.1	0	Unfiltered	none	7254
537.0	16.9	0	Unfiltered	none	7254
55449.0	23.5	0.11	R	Roque-de-Los-Muchachos/Isaac-Newton	7258
52929.0	20.0	0	R	1.52m-Loiano	7260
23760.0	20.0	0	R	GAO-150cm	7278
23940.0	18.0	0	I	GAO-150cm	7278
19526.4	21.1	0	R	**WARNING**	7332
32745.6	22.26	0.19	R	**WARNING**	7332
35337.6	20.3	0	R	**WARNING**	7332
47347.2	22.26	0.15	R	**WARNING**	7332
66700.8	22.4	0	R	**WARNING**	7332
132192.0	23.8	0	R	**WARNING**	7332
