Time	Mag	MagErr	Filter	Telescope	Source
164.0	17.8	0.0	White_swift	none	8180
2580.0	20.8	0.0	R	Mt.-John/0.6m	8181
2580.0	20.3	0.0	I	Mt.-John/0.6m	8181
3549.5	17.1	0.0	g'	50cm-MITSuME	8202
3549.5	17.6	0.0	Rc	50cm-MITSuME	8202
3549.5	17.6	0.0	Ic	50cm-MITSuME	8202
542.0	21.3	0.0	white_swift	Swift/UVOT	8208
740.0	18.1	0.0	uvw2_swift	Swift/UVOT	8208
2573.0	19.2	0.0	uvm2_swift	Swift/UVOT	8208
738.0	18.8	0.0	uvw1_swift	Swift/UVOT	8208
762.5	19.2	0.0	u_swift	Swift/UVOT	8208
782.5	18.9	0.0	b_swift	Swift/UVOT	8208
735.0	20.6	0.0	v_swift	Swift/UVOT	8208
30600.0	24.04	0.47	R	none	arXiv1006.0487
51480.0	24.26	0.31	R_special	none	arXiv1006.0487
129600.0	25.0	0.0	R_special	none	arXiv1006.0487
