3744	18.44	0.05	R	18501
28379	22.4	0	g'	18507
28379	20.8	0.08	r'	18507
28379	20.1	0.07	i'	18507
28379	20.1	0.07	z'	18507
28379	20.1	0.4	J	18507
28379	19.1	0.3	H	18507
28379	18.3	0	K	18507
174	17.7	0	R	18511
221	18	0	R	18511
277	18.3	0	R	18511
343	18.3	0	R	18511
424	18.4	0	R	18511
311	19	0	R	18511
842	18.9	0	R	18511
1736	18.5	0	R	18511
3280	18.9	0	R	18511
4515	19.1	0	R	18511
37818	20.83	0.05	r	18512
37818	20.18	0.04	i	18512
37818	19.49	0.21	z	18512
2661	18.8	0	v_swift	18517
4939	20.6	0	b_swift	18517
4753	20.4	0	u_swift	18517
2890.5	20.4	0	uvw1_swift	18517
5061	19.1	0	uvm2_swift	18517
4651	19.9	0	uvw2_swift	18517
14360	20.8	0.3	v	18529
48960	20.3	0	r'	18520
48960	19.6	0.3	i'	18520
296460	23.45	0	r	18543
296460	23.39	0	i	18543
296460	18.57	0	z	18543
