4221	17.97	0.05	r	29846
4583	17.9	0.1	Clear	29847
5573.596	16.9	0	g	29848
11286.897	17.5	0	g	29848
18838	19	0.13	R	29851
22192	19.2	0.14	R	29851
20303	19.45	0.04	g	29852
20303	19.32	0.04	r	29852
20303	19.18	0.04	i	29852
20303	19.03	0.07	z	29852
269	16.2	0.04	u_swift	29862
19055	18.6	0.1	u_swift	29862
457	16.7	0.2	v_swift	29862
407	17.1	0.1	b_swift	29862
506	16.5	0.2	uvw1_swift	29862
870.5	17.2	0.2	uvm2_swift	29862
1286	17.6	0.2	uvw2_swift	29862
52704	19.9	0.2	R	29861
6693	18.3	0.03	r'	29863
11550	18.75	0.03	r'	29863
53658	19.98	0.02	r	29864
53658	19.77	0.02	i	29864
53658	19.7	0.03	Z	29864
53658	19.48	0.05	Y	29864
53658	19.31	0.05	J	29864
53658	19.26	0.08	H	29864
18838	19	0.13	R	29872
22212	19.2	0.14	R	29872
25392	19.1	0.14	R	29872
29534	19.5	0.12	R	29872
92448	20.76	0.33	r	29883
92448	22.09	0	i	29883
5573.596	18.6	0.06	g	29884
11286.897	19.13	0.1	g	29884
111623	21.4	0.2	r'	29890
190163	22.7	0	r'	29890
89430	21	0.3	R	29894
177470	20.5	0	R	29894
94176	21.8	0.5	R	29895
257885	23.2	0.3	r'	29901
