210	15.6	0.15	Clear	29546
1260	16.95	0.01	R	29547
1260	16.32	0.01	I	29547
54	16.58	0.03	g	29548
95	14.5	0.3	r	29551
3743.71	18.67	0.04	g	29549
3836.16	18.21	0.03	r	29549
3926.02	18.01	0.03	i	29549
4294.94	17.83	0.06	z	29549
15753.6	19.6	0.1	V	29552
598	16.8	0.17	v_swift	29559
524.5	17.24	0.12	b_swift	29559
383.5	16.82	0.04	u_swift	29559
1216	18.8	0	uvw1_swift	29559
1110	20.1	0	uvm2_swift	29559
1148	19.1	0	uvw2_swift	29559
16200	18.5	0.1	R	29562
30600	20	0.2	R	29562
646.999	16.27	0.09	R	29563
892	16.49	0.11	R	29563
1224	16.71	0.11	R	29563
1948	17.18	0.18	R	29563
3412	17.6	0.15	R	29563
50298.6	20.5	0	R	29563
44640	19.6	0	g'	29565
44640	19.9	0	Rc	29565
44640	19.2	0	Ic	29565
6948	19.076	0.13	r	29567
6948	16.39	0.2	H	29567
75960	21.1	0	R	29569
387.5	15.76	0.06	R	31753
484	16.08	0.07	R	31753
581	16.14	0.08	R	31753
703	16.28	0.09	R	31753
800	16.38	0.09	R	31753
897.5	16.38	0.09	R	31753
1616	16.98	0.12	R	31753
1804	17.28	0.15	R	31753
2222.5	17.32	0.13	R	31753
2933.5	17.74	0.21	R	31753
4095	17.92	0.25	R	31753
5803.5	18.52	0.47	R	31753
