2306	17.1	0	Unfiltered	5312
15150	19.9	0.03	R	5317
30744	20.4	0	R	5320
25842	20.56	0.1	r'	5322
31701	20.76	0.15	r'	5322
36360	20.72	0.17	I	5323
36360	19.74	0.18	J	5323
30600	16.5	0	J	5328
119910	22.5	0.2	R	5336
285984	24.1	0	R	5337
542592	25	0	R	5355
409.5	18.6	0.1	v_swift	5357
1064.5	19.1	0.2	v_swift	5357
710.5	19.7	0	b_swift	5357
780.5	20.5	0	u_swift	5357
770.5	20.6	0	uvw1_swift	5357
3859.28	18.7	0.07	R	5434
4185.29	18.63	0.06	R	5434
4517.29	18.77	0.07	R	5434
4840.28	18.88	0.07	R	5434
5171.28	18.91	0.07	R	5434
5664.29	18.86	0.06	R	5434
6589.79	18.87	0.07	R	5434
7747.29	18.82	0.07	R	5434
6117.79	19.87	0.04	B	5434
